,LAT,LON,YEAR,DOY,T2M,QV2M,GWETROOT,PRECTOTCORR
0,18.0,73.75,2024,214,24.08,19.07,1.0,34.5
1,18.0,74.375,2024,214,24.45,18.46,0.93,13.98
2,18.0,75.0,2024,214,25.79,18.13,0.76,4.23
3,18.0,75.625,2024,214,25.86,18.18,0.74,3.01
4,18.0,76.25,2024,214,25.38,18.27,0.76,3.65
5,18.0,76.875,2024,214,25.49,18.38,0.77,6.69
6,18.0,77.5,2024,214,25.98,18.6,0.77,9.79
7,18.0,78.125,2024,214,26.19,18.88,0.67,8.91
8,18.0,78.75,2024,214,26.28,19.15,0.71,8.39
9,18.0,79.375,2024,214,27.26,19.89,0.76,7.84
10,18.0,80.0,2024,214,27.36,20.6,0.88,13.24
11,18.5,73.75,2024,214,24.11,18.98,0.99,26.05
12,18.5,74.375,2024,214,24.88,18.54,0.9,9.57
13,18.5,75.0,2024,214,25.72,18.09,0.74,3.99
14,18.5,75.625,2024,214,25.62,17.95,0.72,4.55
15,18.5,76.25,2024,214,25.52,18.09,0.75,6.72
16,18.5,76.875,2024,214,25.83,18.49,0.79,12.54
17,18.5,77.5,2024,214,26.42,19.07,0.83,19.15
18,18.5,78.125,2024,214,26.48,19.47,0.8,17.68
19,18.5,78.75,2024,214,26.6,19.82,0.86,15.91
20,18.5,79.375,2024,214,27.28,20.42,0.89,11.03
21,18.5,80.0,2024,214,27.27,20.87,0.96,11.53
22,19.0,73.75,2024,214,24.42,19.12,0.98,20.02
23,19.0,74.375,2024,214,24.78,18.42,0.87,7.44
24,19.0,75.0,2024,214,25.79,18.01,0.73,4.47
25,19.0,75.625,2024,214,26.15,17.98,0.71,6.15
26,19.0,76.25,2024,214,26.32,18.35,0.75,9.16
27,19.0,76.875,2024,214,26.43,18.9,0.81,16.71
28,19.0,77.5,2024,214,26.54,19.42,0.85,26.0
29,19.0,78.125,2024,214,26.57,19.83,0.88,24.77
30,19.0,78.75,2024,214,26.72,20.19,0.92,22.05
31,19.0,79.375,2024,214,27.15,20.71,0.98,14.33
32,19.0,80.0,2024,214,27.19,20.99,0.99,11.79
33,19.5,73.75,2024,214,24.66,19.16,0.98,15.71
34,19.5,74.375,2024,214,25.22,18.39,0.84,6.48
35,19.5,75.0,2024,214,26.26,18.14,0.73,5.16
36,19.5,75.625,2024,214,26.63,18.31,0.74,6.99
37,19.5,76.25,2024,214,26.68,18.76,0.79,9.49
38,19.5,76.875,2024,214,26.56,19.25,0.85,16.34
39,19.5,77.5,2024,214,26.45,19.66,0.86,25.93
40,19.5,78.125,2024,214,26.65,20.02,0.87,24.96
41,19.5,78.75,2024,214,26.67,20.38,0.92,23.34
42,19.5,79.375,2024,214,26.89,20.77,0.99,16.4
43,19.5,80.0,2024,214,26.9,20.87,1.0,14.37
44,20.0,73.75,2024,214,24.7,19.0,0.97,11.7
